prd_id,prd_key,prd_name,prd_category,prd_subcategory,prd_cost,prd_list_price,prd_launch_date,prd_discontinued_date
1,PRD-0001,iPhone 15 Pro,Phones,Premium,1334,1920.96,2021-12-09,
2,PRD-0002,iPhone 15,Phones,Standard,503,1031.15,2021-06-29,
3,PRD-0003,Galaxy S24,Phones,Premium,1892,2951.52,2024-03-07,
4,PRD-0004,Galaxy A14,Phones,Budget,1184,2557.44,2022-03-18,
5,PRD-0005,Pixel 8,Phones,Premium,933,1698.06,2021-05-20,
6,PRD-0006,OnePlus 12,Phones,Mid-Range,373,649.02,2021-11-04,
7,PRD-0007,iPad Pro,Tablets,Premium,424,852.24,2017-11-29,
8,PRD-0008,iPad Air,Tablets,Standard,1104,1898.88,2016-12-30,
9,PRD-0009,Galaxy Tab S9,Tablets,Premium,223,341.19,2022-10-01,
10,PRD-0010,Surface Pro 10,Laptops,Premium,604,1026.8,2023-04-06,
11,PRD-0011,MacBook Pro,Laptops,Professional,1822,3844.42,2019-01-21,
12,PRD-0012,ThinkPad X1,Laptops,Professional,804,1825.08,2016-02-01,
13,PRD-0013,Dell XPS 13,Laptops,Ultrabook,1005,1949.7,2020-01-18,
14,PRD-0014,ASUS VivoBook,Laptops,Budget,1108,1473.64,2023-12-14,
15,PRD-0015,Apple Watch S9,Wearables,Premium,1540,3203.2,2016-10-08,
16,PRD-0016,Galaxy Watch6,Wearables,Standard,869,1894.42,2015-12-02,
17,PRD-0017,Fitbit Charge 6,Wearables,Fitness,797,1075.95,2022-07-24,
18,PRD-0018,AirPods Pro,Audio,Premium,776,1707.2,2023-06-10,
19,PRD-0019,Sony WH-1000XM5,Audio,Flagship,1195,2652.9,2016-05-17,
20,PRD-0020,JBL Flip 7,Audio,Portable,816,1134.24,2019-02-12,
21,PRD-0021,55\" QLED TV,TVs,QLED,1640,2361.6,2017-08-09,
22,PRD-0022,65\" OLED TV,TVs,OLED,474,1075.98,2021-06-13,
23,PRD-0023,43\" 4K TV,TVs,Budget,1276,2832.72,2016-12-22,
24,PRD-0024,LG C4 OLED,TVs,OLED,1317,2515.47,2015-11-12,
25,PRD-0025,Dyson V15,Home,Robot,1730,3148.6,2021-05-26,
26,PRD-0026,Shark AI,Home,Robot,1938,2907,2016-05-30,
27,PRD-0027,Roomba j7,Home,Robot,1644,2416.68,2024-02-16,
28,PRD-0028,Canon EOS R8,Cameras,Mirrorless,669,1532.01,2024-11-23,
29,PRD-0029,Sony A7IV,Cameras,Mirrorless,1886,3413.66,2023-12-13,
30,PRD-0030,GoPro 12,Cameras,Action,1825,3704.75,2023-06-12,
